group1,group2,meandiff,p-adj,lower,upper,reject
Discouragement without guide,Dismissive attitude,-0.103,0.0012,-0.1801,-0.0259,TRUE
Discouragement without guide,Disregard for other time or boundaries,-0.1595,0,-0.2366,-0.0824,TRUE
Discouragement without guide,Excessive control,-0.1495,0,-0.2266,-0.0724,TRUE
Discouragement without guide,Lack of specificity,0.0963,0.0034,0.0193,0.1734,TRUE
Discouragement without guide,Mockery,-0.0664,0.1569,-0.1435,0.0106,FALSE
Discouragement without guide,Personal attacks,-0.113,0.0002,-0.19,-0.0359,TRUE
Discouragement without guide,Threats or intimidation,-0.1927,0,-0.2698,-0.1156,TRUE
Discouragement without guide,Unconscious bias,-0.1528,0,-0.2299,-0.0757,TRUE
Dismissive attitude,Disregard for other time or boundaries,-0.0565,0.358,-0.1336,0.0206,FALSE
Dismissive attitude,Excessive control,-0.0465,0.6325,-0.1236,0.0306,FALSE
Dismissive attitude,Lack of specificity,0.1993,0,0.1223,0.2764,TRUE
Dismissive attitude,Mockery,0.0365,0.8687,-0.0405,0.1136,FALSE
Dismissive attitude,Personal attacks,-0.01,1,-0.087,0.0671,FALSE
Dismissive attitude,Threats or intimidation,-0.0897,0.0094,-0.1668,-0.0126,TRUE
Dismissive attitude,Unconscious bias,-0.0498,0.5386,-0.1269,0.0272,FALSE
Disregard for other time or boundaries,Excessive control,0.01,1,-0.0671,0.087,FALSE
Disregard for other time or boundaries,Lack of specificity,0.2558,0,0.1787,0.3329,TRUE
Disregard for other time or boundaries,Mockery,0.093,0.0057,0.0159,0.1701,TRUE
Disregard for other time or boundaries,Personal attacks,0.0465,0.6325,-0.0306,0.1236,FALSE
Disregard for other time or boundaries,Threats or intimidation,-0.0332,0.9199,-0.1103,0.0439,FALSE
Disregard for other time or boundaries,Unconscious bias,0.0066,1,-0.0704,0.0837,FALSE
Excessive control,Lack of specificity,0.2458,0,0.1688,0.3229,TRUE
Excessive control,Mockery,0.0831,0.0236,0.006,0.1601,TRUE
Excessive control,Personal attacks,0.0365,0.8687,-0.0405,0.1136,FALSE
Excessive control,Threats or intimidation,-0.0432,0.722,-0.1203,0.0339,FALSE
Excessive control,Unconscious bias,-0.0033,1,-0.0804,0.0738,FALSE
Lack of specificity,Mockery,-0.1628,0,-0.2399,-0.0857,TRUE
Lack of specificity,Personal attacks,-0.2093,0,-0.2864,-0.1322,TRUE
Lack of specificity,Threats or intimidation,-0.289,0,-0.3661,-0.212,TRUE
Lack of specificity,Unconscious bias,-0.2492,0,-0.3263,-0.1721,TRUE
Mockery,Personal attacks,-0.0465,0.6325,-0.1236,0.0306,FALSE
Mockery,Threats or intimidation,-0.1262,0,-0.2033,-0.0492,TRUE
Mockery,Unconscious bias,-0.0864,0.015,-0.1635,-0.0093,TRUE
Personal attacks,Threats or intimidation,-0.0797,0.0361,-0.1568,-0.0027,TRUE
Personal attacks,Unconscious bias,-0.0399,0.8021,-0.1169,0.0372,FALSE
Threats or intimidation,Unconscious bias,0.0399,0.8021,-0.0372,0.1169,FALSE
