description,Personal attacks,Threats or intimidation,Mockery,Lack of specificity,Discouragement without guide,Disregard for other time or boundaries,Unconscious bias,Dismissive attitude,Excessive control,Social,Toxic,AntiSocial,NonToxic
/It may happen that a service die/A service may die/,0,0,0,1,0,0,0,0,0,0,0,1,1
"@zhiyan, thanks for helping explanation. Overall it's correct. And you're suggestion makes sense for me, will improve it in next PS.
  
  @iccha, actually, this patch is related to https://review.openstack.org/#/c/63707/ in that patch, we're trying to set image size if the image is transferring from 'queued' to 'active' directly when user add/update locations for the image. The try/except can make sure we can iterate all the locations to get an available image. I improve it at here since it's breaking some unit test cases since we're introducing some new behaviour by this change. Does it make sense for you?",0,0,0,0,0,0,0,0,0,1,0,0,1
"all the code you have inline below should be refactored and put into a main function
 
  main() {
  ...
  }
  main ""$@""",0,0,0,0,0,0,0,0,0,1,0,0,1
All you do in the interrupt handler is call wake_up. Looks like you do not need a threaded irq.,1,0,1,1,0,1,0,0,0,0,0,1,1
"Are you sure this leads to a color that makes the white letter readable?
  You need to do something on DrawFallbackIconLetter to draw either WHITE or BLACK depending on the luminosity of the background.
  
  Based on W3C recommendations, here's what you do:
  
  def luminance(r, g, b):
  for each c in r,g,b:
  c = c / 255.0
  if c <= 0.03928 then c = c/12.92 else c = ((c+0.055)/1.055) ^ 2.4
  L = 0.2126 * r + 0.7152 * g + 0.0722 * b
  return L
  
  
  l = luminance(r, g, b)
  if l > 0.179 use #000000 else use #ffffff
  
  That's the way to go.
  
  There's already a GetRelativeLuminance that you could use instead, but it's garbage. :)",0,0,0,0,0,0,0,0,0,1,0,0,1
"As we're moving to have tenant in headers, should we probably kill it from the beginning?",0,0,0,0,0,0,0,0,0,1,0,0,1
"because this fix modify string format from xxxxxx, DUMMY to xxx DUMMY xxx, (the original code use ',' instead of '%', then 'DUMMY') , I want to make sure the string is right formatted. 
  
  for example:
  
  original one:
  >>> print 444 %s 444, aaa
  444 %s 444 aaa
  
  now:
  >>> print 444 %s 444 % aaa
  444 aaa 444",0,0,0,0,0,0,0,0,0,1,0,0,1
"because this fix modify string format from "" xxxxxx, DUMMY"" to "" xxx DUMMY xxx"", (the original code use ',' instead of '%', then 'DUMMY') , I want to make sure the string is right formatted. 
  
  for example:
  
  original one:
  >>> print ""444 %s 444"", ""aaa""
  444 %s 444 aaa
  
  now:
  >>> print ""444 %s 444"" % ""aaa""
  444 aaa 444",0,0,0,0,0,0,0,0,0,1,0,0,1
"because this fix modify string format from "" xxxxxx, DUMMY"" to "" xxx DUMMY xxx"", (the original code use ',' instead of '%', then 'DUMMY') , I want to make sure the string is right formatted. 
  
  for example:
  
  original one:
  >>> print ""444 %s 444"", ""aaa""
  444 %s 444 aaa
  
  now:
  >>> print ""444 %s 444"" % ""aaa""
  444 aaa 444",0,0,0,0,0,0,0,0,0,1,0,0,1
"better pass by value,<br><br> bool bIsTextCat<br><br>(or just ""bool isTextCat"" to avoid the ugly ""misunderstood Hungarian"" prefix)",0,0,0,1,0,0,0,0,0,0,0,1,1
