description,Threats or intimidation
"If you don't get this right next time, you'll be off the project.",1
I can't believe you're still making these mistakes. You're supposed to be a professional.,1
I expect better from you. This is unacceptable,1
"If you don't understand this simple concept, you're in the wrong job",1
This is the worst code I've ever seen. You should be ashamed,1
You're making us all look bad with your poor coding,1
I'm not sure how you still have a job here with this level of performance,1
"This is not up to our standards. If you can't meet them, maybe you should leave",1
"If you can't code better than this, you're going to be replaced",1
"This is your last chance. If you don't improve, you're out",1
I'm tired of fixing your mistakes. Shape up or ship out,1
Your work is subpar. I'm considering recommending you for termination,1
I don't know how you got hired with this level of coding skill,1
Your code is a liability to our project. It's like you're trying to sabotage us,1
"This is a disgrace. If you can't do better, you should quit",1
I'm surprised you've lasted this long with this quality of work,1
Your code is a joke. You're dragging the whole team down,1
"I'm at my wit's end with you. If you don't improve, I'll make sure you're fired",1
"You're a burden to this team. If you can't pull your weight, you should leave",1
"This is the last straw. If I see another mistake like this, you're done here",1
Die. Die. Die XML. I'd remove this hideous reminder of a long-lost sad world.,1
"(No action required) validating behavior, lovely :/ Can't wait for you to replace this crap with their functional betters.",1
I hate to be anal but shouldn't the equals be extended a little farther out to match the number of characters in Federation?,1
"scope_logger.cc doesn't exist in libshill-net users, like apmanager.
  
  Do we move it under common/ and make apmanager depend on a separate shared library, just for that tiny shill-specific piece of code?
  
  Do we move it under net/ where it doesn't really belong?
  
  Do we tell library callers to implement the ScopeLogger class just so that libshill-net links? That's kind of an ugly interface for a library; at least for C-based shared libraries it is generally nicer to ask users to register a callback than for the .so file to try to link against some of the main executable's symbols.",1
"You're lucky I'm here to review your code, otherwise, it would be obvious to everyone how inadequate you are as a developer",1
"I'll make sure your incompetence is known to everyone who matters if you don't fix this issue.""",1
"You better take my feedback seriously, or I'll make sure your reputation is permanently damaged",1
"If you don't address this issue, I'll make sure everyone knows you're incapable of writing quality code",1
I suggest you start looking for another job if you can't handle basic coding principles,1
I'll personally see to it that you're removed from this project if you don't comply with my feedback,1
I have the power to make sure you never get promoted if you don't address this issue,1
"You better take my suggestions seriously, or your reputation as a developer will be irreparably damaged",1
"If you don't address this issue promptly, I'll ensure your incompetence is known throughout the industry",1
"You're lucky I'm reviewing your code, because otherwise, you'd be clueless about how bad it is",1
I've seen better code from a high school student. You should be ashamed of yourself,1
"Ignore my feedback at your own peril, because I won't hold back when it comes to exposing your flaws",1
"You better comply with my suggestions, or I'll personally make sure you're out of this project",1
"You better be careful, I have connections in higher management who can make your life difficult",1
"I know where you sit, and if you don't address this issue, I'll pay you a visit",1
I suggest you rethink your career choices if you can't even understand this simple code,1
"You better resolve this immediately, or there will be consequences",1
"If you don't fix this issue, I'll make sure your name is tarnished in the company",1
Don't think you can get away with submitting such sloppy code. I'll make sure you're held accountable,1
Your code is an embarrassment. I expect better from someone in your position,1
"If you don't fix this, I'll ensure your name is associated with incompetence in the industry",1
I'll make it my mission to expose your incompetence to everyone in the team,1
"I suggest you find another career, because coding clearly isn't your forte",1
"I've seen better coding skills from a novice. Are you even qualified for this role?""",1
"If you don't fix this, I'll make sure your code is ridiculed in front of the entire team.""",1
"Lazy boy, you could write ceilometer.conf entirely :)",0
liar!,0
Might be cleaner to write an OCP that wraps this and prunes out the downloads... I know that's a lot more code/sucks but that's probably the cleanest way? Can you just put this in the factory? Or put it at each client?,0
"nit: Looks ugly. I like this style, like a = b = f(), but not in this particular case. Decompose it, please.",0
"No, indent(1) is dumb. Fixed.",0
"no. this is cute, but EXIT_FAILURE is a system dependant constante
 which does not have to be -1. iow that create a risk of regression, just to be cute
 
 not to mention the wtf factor of prefixing fprintf, for instance",0
Oh crap! I missed this!!!!,0
"OK, just seems ugly to me is all. If you use mock, you don't have to worry about mox or stubs. I'll already grant that some think that using mock is ugly too...",0
Oooops. How comes this stupid thing happens. Thanks for the catch!,0
remove the tabs please - spaces only - the change makes this review a bitch to read and doesn't match the existing formatting.,0
shit :(,0
silly nit: alphabetical order,0
